 ,Area,XM,YM
906,44,310.568,136.545
907,41,313.085,138.329
908,42,315.5,139.833
909,42,317.571,140.69
910,44,319.182,141.25
911,43,320.337,141.314
912,44,320.977,140.409
913,42,321.548,138.333
914,43,322.058,136.058
915,41,322.744,133.5
916,43,322.477,131.384
917,45,321.5,130.5
918,44,320.5,130.0
919,45,319.433,130.056
920,43,318.36,130.5
921,42,316.667,132.262
922,41,315.646,134.354
923,43,315.919,135.477
924,42,317.262,135.286
925,42,318.5,134.167
926,43,319.035,132.221
927,46,318.978,131.239
928,44,318.455,130.136
929,41,317.744,130.5
930,42,317.667,131.548
931,44,317.568,131.545
932,42,316.5,130.833
933,44,315.136,130.909
934,41,313.744,131.5
935,44,313.25,132.295
936,43,313.895,132.57
937,42,314.69,132.905
938,42,315.548,133.333
939,43,316.384,132.384
940,44,316.432,131.455
941,42,315.5,130.167
942,43,314.802,127.919
943,41,314.915,124.524
944,42,315.881,120.738
945,41,317.402,118.598
946,43,318.384,117.477
947,42,318.571,117.31
948,42,317.571,117.69
949,44,315.955,118.705
950,42,313.571,120.31
951,41,310.671,121.841
952,43,308.616,122.942
953,42,308.429,123.31
954,41,309.598,122.988
955,43,312.081,122.128
956,45,314.078,121.278
957,42,315.405,121.238
958,43,316.337,121.686
959,43,317.5,121.64
960,45,319.056,121.567
961,44,320.545,121.568
962,46,321.848,122.304
963,42,322.429,123.31
964,47,322.266,123.947
965,43,322.407,124.174
966,43,323.081,124.477
967,46,323.87,125.239
968,42,323.833,126.5
969,44,324.25,127.705
970,42,325.571,128.31
971,44,327.0,127.5
972,43,327.616,126.616
973,44,327.318,126.0
974,44,326.159,125.318
975,43,325.43,126.221
976,43,324.826,127.337
977,43,325.384,127.384
978,41,326.5,126.744
979,43,327.221,125.57
980,42,327.5,125.833
981,42,326.571,126.31
982,42,325.167,126.5
983,43,324.5,126.64
984,42,325.333,126.452
985,42,326.5,126.167
986,44,327.0,125.5
987,47,327.053,125.266
988,44,326.909,125.636
989,43,326.384,126.384
990,43,325.384,126.384
991,43,324.43,125.779
992,43,324.988,126.337
993,45,325.789,126.367
994,43,326.384,126.384
995,43,325.919,126.477
996,44,325.318,126.0
997,46,324.196,125.913
998,45,323.233,125.989
999,44,322.455,126.568
1000,42,321.31,127.095
1001,44,319.25,127.182
1002,44,316.25,126.295
1003,44,314.136,124.591
1004,41,312.646,122.646
1005,42,311.833,121.5
1006,44,311.591,120.864
1007,40,312.525,121.175
1008,44,314.25,122.295
1009,43,314.779,124.43
1010,42,316.167,126.5
1011,44,318.455,127.568
1012,42,319.905,127.31
1013,43,320.081,125.523
1014,42,318.833,123.5
1015,43,317.081,122.523
1016,42,316.167,122.5
1017,42,315.429,121.69
1018,45,313.944,121.567
1019,42,312.333,121.452
1020,45,311.5,121.5
